Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 1850,5,5,5,5,5,5,4,5,Employable
Student 1851,4,3,4,4,3,4,3,5,LessEmployable
Student 1852,4,3,4,4,3,3,3,3,LessEmployable
Student 1853,5,5,4,5,5,4,4,5,LessEmployable
Student 1854,4,4,4,5,5,4,3,5,LessEmployable
Student 1855,5,4,5,5,5,5,5,5,Employable
Student 1856,5,3,3,4,5,3,3,3,Employable
Student 1857,5,5,5,5,4,5,4,5,Employable
Student 1858,5,5,4,5,4,5,5,5,Employable
Student 1859,4,4,3,3,3,4,4,3,LessEmployable
Student 1860,5,5,5,5,5,4,4,5,Employable
Student 1861,5,5,5,5,5,4,4,5,Employable
Student 1862,5,4,5,5,5,4,4,3,Employable
Student 1863,5,4,5,5,5,4,4,5,Employable
Student 1864,4,3,4,3,4,3,3,5,LessEmployable
Student 1865,5,4,5,5,4,4,4,5,LessEmployable
Student 1866,5,3,4,4,3,4,3,5,LessEmployable
Student 1867,5,3,3,3,4,3,3,3,LessEmployable
Student 1868,5,4,5,5,5,4,4,5,Employable
Student 1869,5,5,5,5,5,4,4,3,Employable
Student 1870,5,4,5,5,5,4,4,5,Employable
Student 1871,5,5,5,5,5,5,4,5,Employable
Student 1872,5,4,5,5,5,4,4,5,Employable
Student 1873,5,5,5,5,5,5,4,5,Employable
Student 1874,5,4,5,5,4,4,4,3,Employable
Student 1875,5,3,4,4,4,4,3,5,LessEmployable
Student 1876,4,4,4,4,3,4,4,5,LessEmployable
Student 1877,5,4,5,5,5,4,4,4,Employable
Student 1878,4,5,4,4,4,5,4,5,Employable
Student 1879,4,3,3,3,3,3,3,5,Employable
Student 1880,4,4,4,4,5,4,4,5,LessEmployable
Student 1881,3,3,3,4,3,3,3,5,Employable
Student 1882,4,4,4,3,3,3,3,5,Employable
Student 1883,4,4,4,3,4,3,3,4,LessEmployable
Student 1884,4,4,4,4,4,4,4,4,Employable
Student 1885,3,3,3,4,3,3,3,5,Employable
Student 1886,5,5,3,5,3,5,5,5,Employable
Student 1887,4,4,4,4,4,4,4,5,Employable
Student 1888,4,5,5,5,5,5,5,5,Employable
Student 1889,4,4,4,4,4,4,4,4,Employable
Student 1890,4,3,3,3,3,3,3,5,Employable
Student 1891,3,4,3,4,3,4,3,5,Employable
Student 1892,4,4,4,4,4,4,4,5,LessEmployable
Student 1893,4,3,3,3,4,3,4,5,LessEmployable
Student 1894,4,4,4,4,3,4,3,4,Employable
Student 1895,3,4,4,4,3,4,3,5,Employable
Student 1896,5,4,4,4,4,4,4,5,Employable
Student 1897,4,4,4,3,3,4,4,5,Employable
Student 1898,3,4,4,3,4,4,3,5,LessEmployable
Student 1899,4,3,2,3,2,2,3,5,Employable
Student 1900,4,3,4,3,4,3,3,4,Employable
Student 1901,4,4,3,4,3,4,3,5,LessEmployable
Student 1902,4,4,4,4,3,3,3,5,Employable
Student 1903,5,3,3,4,3,3,3,4,LessEmployable
Student 1904,4,3,3,3,3,3,2,5,Employable
Student 1905,3,4,4,4,4,4,4,5,Employable
Student 1906,4,5,4,5,4,4,4,5,Employable
Student 1907,4,4,4,3,4,4,3,5,LessEmployable
Student 1908,4,4,4,4,3,4,4,5,Employable
Student 1909,5,5,5,5,5,5,4,5,Employable
Student 1910,3,3,3,3,3,2,2,4,Employable
Student 1911,4,4,4,4,4,4,3,5,LessEmployable
Student 1912,4,4,4,4,4,4,4,5,LessEmployable
Student 1913,4,3,3,3,3,3,2,5,Employable
Student 1914,5,4,4,4,4,4,4,4,Employable
Student 1915,3,3,3,3,3,3,3,5,LessEmployable
Student 1916,4,3,4,3,3,3,3,5,Employable
Student 1917,4,3,4,3,3,3,2,5,Employable
Student 1918,2,2,3,3,3,3,3,5,LessEmployable
Student 1919,4,4,3,4,3,4,3,4,LessEmployable
Student 1920,4,4,4,3,3,4,3,5,Employable
Student 1921,4,4,5,4,4,4,4,5,LessEmployable
Student 1922,5,4,4,4,4,3,3,5,LessEmployable
Student 1923,4,4,4,4,3,4,3,5,LessEmployable
Student 1924,4,4,4,4,4,4,4,5,LessEmployable
Student 1925,4,5,4,4,4,4,4,5,LessEmployable
Student 1926,5,5,4,5,5,5,5,5,Employable
Student 1927,4,4,4,4,4,4,4,5,Employable
Student 1928,5,4,4,4,4,4,3,4,LessEmployable
Student 1929,5,4,4,4,4,4,3,3,LessEmployable
Student 1930,5,5,4,4,5,4,5,3,LessEmployable
Student 1931,5,4,4,4,4,4,3,5,Employable
Student 1932,5,4,4,4,4,4,3,5,Employable
Student 1933,5,5,4,4,5,4,4,5,Employable
Student 1934,4,3,4,4,4,3,3,4,Employable
Student 1935,5,4,3,3,3,4,4,5,LessEmployable
Student 1936,5,5,5,5,5,5,5,5,Employable
Student 1937,5,4,5,5,5,5,4,5,Employable
Student 1938,5,4,5,5,5,5,4,5,Employable
Student 1939,5,3,5,4,4,3,3,5,Employable
Student 1940,5,4,5,5,5,4,4,4,Employable
Student 1941,5,3,5,4,4,4,3,4,LessEmployable
Student 1942,5,5,5,5,5,4,3,4,Employable
Student 1943,5,5,5,5,5,5,3,5,Employable
Student 1944,5,4,4,4,4,4,4,5,LessEmployable
Student 1945,4,3,4,4,4,3,3,5,LessEmployable
Student 1946,4,4,4,4,4,4,3,5,LessEmployable
Student 1947,4,4,5,4,4,4,3,5,LessEmployable
Student 1948,5,3,5,4,5,5,3,5,Employable
Student 1949,5,3,3,3,3,3,2,5,Employable
Student 1950,4,3,4,3,4,3,4,4,Employable
Student 1951,4,3,4,4,4,3,3,3,Employable
Student 1952,4,3,3,2,3,2,3,4,Employable
Student 1953,5,5,5,5,5,5,4,5,LessEmployable
Student 1954,4,3,4,3,4,3,4,5,LessEmployable
Student 1955,3,3,4,4,4,3,3,4,LessEmployable
Student 1956,4,3,4,4,4,3,3,5,Employable
Student 1957,4,4,4,4,4,3,3,5,Employable
Student 1958,4,4,5,5,4,5,5,5,LessEmployable
Student 1959,4,5,5,5,5,4,5,5,Employable
Student 1960,4,5,5,5,5,4,5,5,Employable
Student 1961,4,4,3,4,4,4,4,5,LessEmployable
Student 1962,4,3,4,4,4,3,3,4,LessEmployable
Student 1963,4,3,4,4,3,4,4,5,LessEmployable
Student 1964,3,3,4,4,4,4,4,5,LessEmployable
Student 1966,3,3,4,3,4,3,3,3,Employable
Student 1967,3,3,4,3,4,3,3,3,Employable
Student 1968,3,4,4,4,3,4,3,5,Employable
Student 1970,5,4,4,3,3,4,4,4,LessEmployable
Student 1971,4,3,4,4,3,4,3,5,LessEmployable
Student 1972,5,5,5,4,5,4,5,5,LessEmployable
Student 1973,4,2,4,4,3,3,3,5,LessEmployable
Student 1974,5,5,5,5,5,5,5,5,LessEmployable
Student 1975,4,3,3,4,3,3,3,3,Employable
Student 1976,5,4,3,3,3,3,2,3,LessEmployable
Student 1977,5,5,5,5,5,4,5,5,Employable
Student 1978,4,5,5,5,5,5,5,3,LessEmployable
Student 1979,4,5,5,3,3,5,3,5,LessEmployable
Student 1980,4,5,3,5,5,5,3,5,Employable
Student 1981,3,5,5,3,5,5,3,5,Employable
Student 1982,3,3,3,3,3,3,3,5,Employable
Student 1983,4,3,4,4,4,3,3,5,Employable
Student 1984,4,3,4,2,2,2,2,5,LessEmployable
Student 1985,3,2,3,3,3,3,3,5,LessEmployable
Student 1986,5,5,4,5,4,5,4,5,LessEmployable
Student 1987,3,4,3,4,3,4,3,5,Employable
Student 1988,4,3,3,3,3,3,3,5,Employable
Student 1989,5,4,4,4,4,4,4,5,Employable
Student 1990,4,4,4,4,4,4,4,4,Employable
Student 1991,4,4,4,4,3,3,3,5,LessEmployable
Student 1992,5,4,5,5,5,5,4,5,LessEmployable
Student 1994,4,3,3,3,3,3,3,5,Employable
Student 1995,4,5,4,4,4,4,4,5,LessEmployable
Student 1996,5,4,4,4,4,4,4,5,Employable
Student 1997,5,5,4,5,4,4,5,4,Employable
Student 1998,4,4,4,4,5,5,5,3,Employable
Student 1999,4,3,4,4,4,3,3,5,LessEmployable
Student 2000,4,5,5,5,4,4,4,5,Employable
Student 2001,4,4,4,3,3,4,3,5,Employable
Student 2002,4,4,4,3,3,4,3,5,Employable
Student 2003,4,5,4,5,5,5,5,5,Employable
Student 2004,4,4,4,4,4,4,3,5,Employable
Student 2005,4,3,3,3,3,3,2,5,LessEmployable
